nBC,Ins,RH,s,t,avPriceFP0,avPriceFP100,avPriceFP500,avPriceCoastFront,nB,nS,nNC,nOS,nOB,nBL,nT,dBS
0.7,0,1,0,47,152981.1782235,164191.46186441,128847.61057692,283199.66304348,3235,978,242,82,2919,8,264,2257
0.7,0,1,0,48,152770.26934097,164586,128988.99519231,283683.63043478,3311,964,264,78,2989,20,246,2347
0.7,0,1,0,49,151614.56045845,163698.27542373,127870.63942308,282418.19565217,3344,950,260,70,3053,39,258,2394
0.7,0,1,0,50,151190.25787966,163490.30084746,127484.60096154,282602.67391304,3386,949,233,80,3080,7,264,2437
0.7,0,1,0,51,149962.61776504,162560.32627119,126656.82692308,281196.55434783,3448,962,252,81,3123,8,263,2486
0.7,0,1,0,52,149224.42636103,162327.98305085,125410.70673077,280574.06521739,3516,1019,232,93,3202,11,246,2497
0.7,0,1,0,53,148517.26532951,161777.15254237,124816.46634615,280864.23913043,3550,998,232,85,3246,13,270,2552
0.7,0,1,0,54,147401.31575931,160177.14830508,123619.64903846,278742.89130435,3615,1028,248,77,3309,19,241,2587
0.7,0,1,0,55,146274.1226361,159250.44915254,123314.93269231,276644.56521739,3680,1000,261,84,3346,11,269,2680
0.7,0,1,0,56,145745.02234957,158340.08474576,122737.81730769,276256.98913043,3705,953,237,84,3393,9,287,2752
0.7,0,1,0,57,144861.13008596,157625.79237288,121961.84134615,274799.22826087,3774,959,260,84,3435,5,270,2815
0.7,0,1,0,58,144668.34842407,157798.65254237,122094.88461538,276056.7173913,3835,990,246,84,3513,8,261,2845
0.7,0,1,0,59,144294.27621777,157961.29661017,122452.18269231,277526.92391304,3843,997,234,73,3571,35,264,2846
0.7,0,1,0,60,144669.05444126,158448.09322034,122668.62980769,278813.55434783,3891,1031,234,82,3581,6,262,2860
0.7,0,1,0,61,145517.09570201,159032.81779661,123061.20192308,281706.89130435,3967,1024,261,76,3635,5,256,2943
0.7,0,1,0,62,146619.76389685,160099.94491525,123752.98076923,284740.18478261,3997,1040,238,68,3723,32,244,2957
0.7,0,1,0,63,146525.65501433,160163.25,123356.02884615,285208.34782609,3997,1037,240,76,3754,73,243,2960
0.7,0,1,0,64,146314.82636103,160271.83050847,123078.58173077,285148.9673913,4014,1029,247,89,3721,43,276,2985
0.7,0,1,0,65,147402.50773639,162396.52542373,123949.92788462,289519.5326087,4065,1030,255,71,3766,27,248,3035
0.7,0,1,0,66,147922.74613181,163119.38559322,124447.59615385,290711.01086957,4093,1039,260,76,3792,35,273,3054
0.7,0,1,0,67,147996.07793696,163764.62711864,124636.92788462,292313.63043478,4081,996,243,90,3819,71,274,3085
0.7,0,1,0,68,149007.12206304,164901.65254237,125639.56730769,295338.5326087,4119,1016,252,111,3802,46,279,3103
0.7,0,1,0,69,149826.23495702,166860.08474576,126382.69230769,299403.09782609,4133,962,225,72,3845,9,274,3171
0.7,0,1,0,70,150345.75358166,167223.15677966,126661.73557692,300836.15217391,4196,933,268,83,3857,12,276,3263
0.7,0,1,0,71,151089.71461318,168344.41949153,127171.82692308,303460.08695652,4265,945,252,80,3944,11,252,3320
0.7,0,1,0,72,151842.6269341,168681.05084746,127621.47596154,305531.60869565,4329,962,261,87,3985,4,280,3367
0.7,0,1,0,73,151963.49340974,168865.32627119,127399.16346154,307110.55434783,4362,945,241,83,4048,10,281,3417
0.7,0,1,0,74,152854.4756447,169679.43644068,127739.52884615,309826.56521739,4406,959,241,80,4099,14,263,3447
0.7,0,1,0,75,153924.38739255,170607.06779661,128322.67788462,313435.36956522,4453,966,244,66,4148,5,258,3487
0.7,0,1,0,76,153639.22292264,170361.86440678,128133.69711538,313046.35869565,4509,974,239,72,4206,8,247,3535
